Playlist,Playlist title,Playlist starts,Views,Average view duration,Watch time (hours)
Total,,2568,5131,0:05:49,497.9562
PL4K-daRUS2A9kPIMSuEIOODwt5YK3OMuv,Topic: Metagenomics,584,1293,0:06:34,141.8105
PL4K-daRUS2A9noShSQjLfFGnaXg7YelrO,Topic: R,595,1108,0:07:16,134.4292
PL4K-daRUS2A_FdxH_jNtcECtlZ2JoF6GO,Topic: Functional Annotation,239,764,0:05:01,64.0024
PL4K-daRUS2A9ACcYbgyde8PRNKFRx4arV,Topic: Amplicons,284,524,0:06:32,57.1538
PL4K-daRUS2A-knoIZVV5SJkEkZhqfdHVB,Topic: Basic Unix,183,274,0:07:09,32.6549
PL4K-daRUS2A8bx-w8KPfOLb9--DPZhxoy,Topic: Python,173,340,0:04:07,23.3611
PL4K-daRUS2A_lRVF7dy1ueshKwvLyNo3o,Topic: Transcriptomics,108,220,0:03:38,13.3371
PL4K-daRUS2A9z9YKJNalBlQwNG56tYfiI,Topic: Network Science,124,201,0:03:21,11.2408
PL4K-daRUS2A86LFK6GnmsBD9p-nGx8mN6,Topic: Population Genetics,83,138,0:03:57,9.123
PL4K-daRUS2A_cXlNKSwKsg6jyix2xuRwm,BVCN Essentials,72,91,0:04:23,6.6724
PL4K-daRUS2A9BEotihVi3KqO-4Uokzc6S,General Information,72,75,0:01:59,2.4861
PL4K-daRUS2A9aOK-pBJ-zS9YLKnglThnr,Speaker Introduction - Holistic Bioinformatic Approaches used in Microbiome Research,51,103,0:00:58,1.6849
